����_A
t	y	x
0.0	-229.17030567685583	281.33915574963606
0.1	-225.44395924308583	279.47598253275106
0.2	-229.17030567685583	283.20232896652107
0.3	-204.9490538573508	285.06550218340607
0.4	-197.4963609898108	288.7918486171761
0.5	-177.00145560407566	292.5181950509461
0.6	-156.50655021834064	298.1077147016011
0.7	-128.5589519650655	307.4235807860262
0.8	-104.33770014556035	311.1499272197962
0.9	-61.48471615720524	311.1499272197962
1.0	-33.53711790393015	316.7394468704512
1.1	-9.31586608442501	324.1921397379912
1.2	24.22125181950514	313.0131004366812
1.3	76.39010189228532	307.4235807860262
1.4	106.2008733624454	298.1077147016011
1.5	147.1906841339156	283.20232896652107
1.6	165.82241630276565	275.74963609898106
1.7	191.90684133915576	272.02328966521105
1.8	219.85443959243088	266.43377001455605
1.9	231.0334788937409	260.84425036390104
2.0	231.0334788937409	260.84425036390104
2.1	221.71761280931588	260.84425036390104
2.2	208.6754002911208	257.1179039301309
2.3	188.18049490538573	264.57059679767104
2.4	169.54876273653565	273.88646288209605
2.5	139.73799126637556	285.06550218340607
2.6	117.37991266375548	292.51819505094596
2.7	80.07251918728991	294.2834722583157
2.8	46.25591518403235	322.2894251407302
2.9	8.116410624044079	327.5397667844366
3.0	-28.96961463288585	317.36047179112944
3.1	-67.65746305449147	330.8704947671351
3.2	-89.32121861985513	328.88593564531556
3.3	-135.58875787029024	341.88793634774714
3.4	-164.696714361104	335.0564149058517
3.5	-189.02681167246703	328.5945070798064
3.6	-205.71822198084112	323.60849656450006
3.7	-217.92956059715118	319.8671826720236
3.8	-225.6013541185422	316.8361806245769
3.9	-227.9001545984005	315.6517978830714
4.0	-225.72965419551213	314.1542371771055
4.1	-219.3573132473308	317.20015944170365
4.2	-210.22007660065685	321.07588168506146
4.3	-198.2577219363326	325.9768895922819
4.4	-179.92348545544803	332.95552064468444
4.5	-156.71637168308382	338.8912442512406
4.6	-128.81394515116347	343.7563378944329
4.7	-97.20886322375316	348.74452549205245
4.8	-74.35189516328148	350.5477698119892
4.9	-50.47750047160969	357.3511233736637
5.0	-23.402989080126986	360.00008570004724
5.1	12.458903770601523	355.9848754660422
5.2	45.99691187280962	341.1350404393308
5.3	70.66267204393614	330.47789292287683
5.4	85.89845324765611	318.96760266905125
5.5	111.89303792405042	305.86253690113955
5.6	135.84598851175969	295.5810836285471
5.7	153.1450695120455	288.1425683589021
5.8	171.03792810575288	270.21574195764725
5.9	159.23094482968776	259.2841161787631
6.0	210.5385735080058	262.70742358078604
6.1	199.3595342066958	268.29694323144105
6.2	177.00145560407572	272.02328966521105
6.3	158.36972343522564	281.33915574963606
6.4	128.55895196506552	288.7918486171761
